英文关键词,中文关键词
Mitochondrial DNA,线粒体DNA
Depiction,描绘
Transport engineering,交通工程
Conceptual design,概念设计
Cosmological constant,宇宙学常数
Urban forestry,城市林业
Commission,佣金
Lead (geology),铅（地质）
Through-the-lens metering,镜后测光
Water-use efficiency,水分利用效率
Reinterpretation,重新解释
Forest ecology,森林生态学
Task analysis,任务分析
Anonymity,匿名
Pre-exposure prophylaxis,暴露前预防
General partnership,普通合伙
Spatial epidemiology,空间流行病学
Tundra,苔原
Salient,显著的
Social network analysis,社交网络分析
Urban environment,城市环境
The Republic,共和国
Long non-coding RNA,长链非编码RNA
Backup,备份
Landscaping,景观美化
Grid,网格
Proposition,命题
Library science,图书馆学
Unemployment,失业
Demography,人口统计学
RNA-induced transcriptional silencing,RNA诱导的转录沉默
Environmental science,环境科学
Spanish Civil War,西班牙内战
Phylogeography,系统地理学
Reuse,重用
Zoology,动物学
Graphics,图形
Carcinoma,癌
Image resolution,图像分辨率
Human capital,人力资本
Spectral bands,谱带
Coherence (philosophical gambling strategy),连贯性（哲学赌博策略）
Art,艺术
Ecosystem services,生态系统服务
Heterochromatin protein 1,异染色质蛋白1
Martian surface,火星表面
Vector (molecular biology),载体（分子生物学）
Moisture,湿气
Guard (computer science),警卫（计算机科学）
Global warming,全球变暖
Aerial photography,航空摄影
Ledger,账本
Urban resilience,城市韧性
Container (type theory),容器（类型理论）
Status quo,现状
Sensitivity (control systems),灵敏度（控制系统）
Passion,激情
Urology,泌尿科
Image processing,图像处理
Crop loss,作物损失
Climatology,气候学
Storytelling,讲故事
European union,欧盟
Construct (python library),构造（python库）
Residual,残差
Cluster (spacecraft),集群（航天器）
Topographic Wetness Index,地形湿度指数
Strombolian eruption,斯通博利型
Histone H3,组蛋白H3
Doppler effect,多普勒效应
Water table,地下水位
Environmental health,环境健康
Floor area ratio,容积率
Cartography,制图学
Chronotope,时空体
Smart city,智慧城市
Diffusion,扩散
Seascape,海景
Stressor,压力源
Square (algebra),平方（代数）
Internet privacy,网络隐私权
Conflict management,冲突管理
Debris,碎片
Cinder cone,火山渣锥
Agricultural engineering,农业工程
Economic geography,经济地理学
Coastal flood,沿海洪水
Universe,宇宙
Spatial reference system,空间参照系统
Pedestrian,行人
Bioindicator,生物指示剂
Intersectionality,交叉性
Neural correlates of consciousness,意识相关神经区
Flow network,网络流
Security token,安全性令牌
Bank erosion,河岸侵蚀
Cell biology,细胞生物学
Metropolitan area,都会区
Drainage basin,流域
Subjectivity,主观性
Random forest,随机森林
Agile software development,敏捷软件开发
Transgender women,跨性别女性
Climate commitment,气候承诺
Tabu search,禁忌搜索
Motor control,电机控制
Vegetation classification,植被分类
Colonial period,殖民地时期
Psychological intervention,心理干预
Weaving,编织
Return period,重现期
Habitat,栖息地
Collinearity,共线性
Mutation,突变
Antibody,抗体
Motor imagery,运动表象
Pancreatic ductal adenocarcinoma,胰腺导管腺癌
Quality (philosophy),质量（哲学）
Soundscape,声景
EZH2,EZH2
Consciousness,意识
Chromatin remodeling,染色质重塑
Online learning,在线学习
Raw material,原材料
Categorical variable,分类变量
Sustainability,可持续性
Regional science,区域科学
Rural settlement,农村居民点
Family medicine,家庭医学
Elevation (ballistics),仰角（弹道学）
Intercropping,间作
Metastatic Urothelial Carcinoma,转移性尿路上皮癌
Theoretical physics,理论物理学
Oceanography,海洋学
Ice sheet,冰盖
Greenland ice sheet,格陵兰冰盖
Level design,关卡设计
Data curation,数据管理
Product (mathematics),产品（数学）
Coral reef,珊瑚礁
Predictive modelling,预测建模
Transient climate simulation,瞬态气候模拟
Artificial neural network,人工神经网络
Genetic structure,遗传结构
Lens (geology),透镜（地质学）
Giant component,巨型组件
Sowing,播种
Science communication,科学传播
Consistency (knowledge bases),一致性（知识库）
Telecommunications link,电信连接
Electrical conductor,导体
Big Bang (financial markets),大爆炸（金融市场）
Statistical analysis,统计分析
Shared resource,共享资源
Metadata repository,元数据仓储
Socioeconomic status,社会经济地位
Groundwater recharge,地下水补给
Environmental planning,环境规划
Bronze Age,青铜时代
Visual analytics,视觉分析
Genetic diversity,遗传多样性
Invasive species,入侵物种
Natural resource economics,自然资源经济学
Segmentation,分割
International relations,国际关系
Emperor,皇帝
Irrigation,灌溉
Pelagic zone,远洋带
Feeling,感觉
African studies,非洲研究
Natural heritage,自然遗产
Hesperian,西方的
Locale (computer software),区域设置（计算机软件）
Georeference,地理参照
Infiltration (HVAC),渗透（暖通空调）
Water conservation,节水
Photovoltaic system,光伏系统
Terrain,地形
Interpretative phenomenological analysis,解释现象学分析
Financial market,金融市场
MEDLINE,医学文献分析和检索系统
Public participation GIS,公众参与GIS
Genome,基因组
Computational biology,计算生物学
Simple (philosophy),简单（哲学）
Stage (stratigraphy),阶段（地层学）
Range (aeronautics),航程（航空）
Immunohistochemistry,免疫组织化学
Vadose zone,通气层
Parametric statistics,参数统计
Multi-objective optimization,多目标优化
Pipeline (software),管道（软件）
Agricultural policy,农业政策
Artillery,炮兵
Crowdsourcing,众包
Orbiter,轨道器
Economic Justice,经济正义
Web page,网页
3D printing,3D打印
Service (business),服务（商业）
Cognitive reframing,认知重构
Argument (complex analysis),论证（复杂分析）
Flake,薄片
Race (biology),种族（生物学）
Smart environment,智能环境
Reinforcement learning,强化学习
Photosynthetically active radiation,光合有效辐射
Empire,帝国
Floodplain,漫滩
Combustibility,可燃性
Network topology,网络拓扑
Curse of dimensionality,维度灾难
Precision agriculture,精准农业
Probability density function,概率密度函数
Coupling constant,耦合常数
Cultural heritage management,文化遗产管理
Contract farming,合同农业
Fishery,渔业
Legibility,易读性
Malnutrition,营养不良
Subject (documents),主题（文件）
Data modeling,数据建模
Ranking (information retrieval),排名（信息检索）
Landscape archaeology,景观考古
Broadband,宽带
Participatory sensing,参与式传感
Host (biology),宿主（生物学）
Estimation,估计
Functional connectivity,的功能连接
Vulnerability assessment,脆弱性评估
Spatial data infrastructure,空间数据基础设施
Optimism,乐观
Climatic variability,气候变异性
Geologic map,地质图
Fragmentation (computing),碎片化（计算）
Landslide,山体滑坡
Business model,商业模式
Tracing,追踪
Character (mathematics),字符（数学）
Certification,认证
Structural basin,构造盆地
Solar Resource,太阳能资源
Agricultural machinery,农业机械
Kernel density estimation,核密度估计
Covariance matrix,协方差矩阵
Narrative,叙述
Archaeology,考古学
Plankton,浮游生物
Hazard,危险
Asset (computer security),资产（计算机安全）
Histone code,组蛋白密码
Service-oriented architecture,面向服务的体系结构
Irrigation district,灌区
Scholarship,奖学金
National laboratory,国家实验室
Port (circuit theory),端口（电路理论）
Water level,水位
Metrics,指标
Typology,类型学
Seasonality,季节性
Crop,作物
Data collection,数据收集
Aquifer,含水层
Information visualization,信息可视化
Internal medicine,内科学
Geodesy,大地测量学
Agroecology,农业生态学
Population genomics,群体基因组学
Denial,否认
Data file,数据文件
Smart device,智能设备
Administrative law,行政法
Image quality,图像质量
Strengths and weaknesses,优势与劣势
Loess,黄土
Unit (ring theory),单位（环理论）
Sequence (biology),序列（生物学）
Benchmark (surveying),基准（测量）
Markov decision process,马尔可夫决策过程
Natural disaster,自然灾害
Horizontal line test,水平线测试
Identity (music),身份（音乐）
Biomass (ecology),生物量（生态学）
Energy (signal processing),能源（信号处理）
Martian,火星人
Technological revolution,技术革命
Crosstalk,相声
Geography,地理
Compatibility (geochemistry),兼容性（地球化学）
Stock (firearms),库存（枪支）
Geomatics,测绘学
Enhanced vegetation index,增强植被指数
Land reclamation,土地复垦
Quarter (Canadian coin),四分之一（加拿大硬币）
Genetic variation,遗传变异
Demolition,拆除
Value (mathematics),价值（数学）
Participatory GIS,参与式地理信息系统
Woody plant,木本植物
Representation (politics),代表（政治）
Hierarchical clustering,层次聚类
Depression-focused recharge,以抑郁为中心的充电
Effects of global warming,全球变暖的影响
Doctrine,教义
Dimensionless quantity,无量纲数量
Corporate governance,公司治理
Neuroscience,神经科学
Systematic review,系统评价
The Conceptual Framework,概念框架
Public use,公用
Binary number,二进制数
Remote sensing,遥感
Section (typography),章节（排版）
Database,数据库
Post colonialism,后殖民主义理论
Social cost,社会成本
Soil carbon,土壤碳
Pareto principle,帕累托原理
Abiotic component,非生物成分
Additive model,可加模型
Crop production,作物生产
Transitive relation,传递关系
Computer vision,计算机视觉
Intertidal zone,潮间带
Binary code,二进制代码
Routing (electronic design automation),布线（电子设计自动化）
Stakeholder engagement,利益相关方参与
Census,人口普查
Boundary (topology),边界（拓扑）
Groundwater model,地下水模型
Profiling (computer programming),分析（计算机编程）
Leasehold estate,租赁持有地产权
Flood mitigation,防洪
Transpiration,蒸腾
River delta,三角洲
Linearization,线性化
Cultural analytics,文化分析
Discrete choice,离散选择
Site selection,选址
Architectural plan,建筑平面图
Shadow (psychology),阴影（心理学）
Cytochrome c oxidase subunit I,细胞色素C氧化酶亚基I
Mobility model,移动模型
Building management system,楼宇管理系统
Data flow diagram,数据流图
Training (meteorology),培训（气象学）
User engagement,用户参与度
Descriptive research,描述性研究
Community resilience,社区复原力
Volcanic cone,火山锥
Anthropology,人类学
Southern Hemisphere,南半球
Metagenomics,宏基因组学
Data science,数据科学
Transformer,变压器
Mobile apps,移动应用
Heat flow,热流
Place making,场所营造
Functional ecology,功能生态学
Plasmodium knowlesi,诺氏疟原虫
Cluster randomised controlled trial,集群随机对照试验
Vineyard,葡萄园
Business system planning,企业系统规划法
Coarse woody debris,粗木质残体
Community structure,群落结构
Field research,实地调研
Wind stress,风应力
Genomics,基因组学
Heat stress,热应激
Digital elevation model,数字高程模型
Landscape connectivity,景观连通性
Bronze,青铜
Fabrication,制造
Home automation,家庭自动化
Qualitative property,定性属性
Probabilistic logic,概率逻辑
Starch,淀粉
Geocoding,地理编码
Carbon accounting,碳会计
Emerging technologies,新兴技术
Urban management,城市管理
Hypervariable region,基因高变区
Geotagging,地理位置标记
Linkage (software),联动（软件）
SOAP,简单对象访问协议
Robustness (evolution),稳健性（进化）
Sustainable management,可持续管理
Rationality,理性
Pancreatic cancer,胰腺癌
Premotor cortex,运动前区皮层
Gene,基因
Blindness,失明
Zoonosis,人畜共患病
Node (physics),节点（物理）
Generator (circuit theory),发电机（电路理论）
Educational technology,教育技术
Thematic analysis,主题分析
Early warning system,预警系统
Language model,语言模型
Mental health,心理健康
Digital Earth,数字地球
Albedo (alchemy),阿尔贝多（炼金术）
Component (thermodynamics),成分（热力学）
Historic site,历史地段
Conceptualization,概念化
Natural language generation,自然语言生成
Innate immune system,先天免疫系统
Carbon stock,碳储量
Information governance,信息治理
Stormwater,雨水
Embodied cognition,具身认知
Canopy conductance,树冠气孔通导率
Block (permutation group theory),块（置换群论）
Social conflict,社会冲突
Building energy simulation,建筑能耗模拟
Scoria,火山渣
Plant disease,植物病害
Digital media,数字媒体
Developmental psychology,发展心理学
Microbiome,微生物组
Focus group,焦点小组
Gemcitabine,吉西他滨
Information model,信息模型
Wind speed,风速
Economy,经济
Anomaly detection,异常检测
Occupational segregation,职业隔离
Multilevel model,多级模型
Nanotechnology,纳米技术
Risk assessment,风险评估
Social integration,社会融合
Control reconfiguration,控制重构
Natural hazard,自然灾害
Individual mobility,个人流动性
Disturbance (geology),扰动（地质）
Lifelong learning,终身学习
Ground truth,真实值
Footprint,足迹
Lineament,轮廓
Fishing,钓鱼
Data management,数据管理
Algorithm,算法
Flash flood,山洪
Groundwater resources,地下水资源
Energy planning,能源规划
Contentment,满足
Infographic,信息图
Sampling (signal processing),采样（信号处理）
Flood forecasting,洪水预报
Precipitation,降水
Macro,宏
Atlas (anatomy),阿特拉斯（解剖学）
Information science,信息科学
Litter,垃圾
Hotspot (geology),热点（地质）
Mobile device,移动设备
Computational intelligence,计算智能
Upwelling,涌升流
Bridging (networking),桥接（联网）
Cancer,癌症
Participatory rural appraisal,参与性农村评估
Orthophoto,正射影像
Pyramid (geometry),金字塔（几何）
Data visualization,数据可视化
Solar energy,太阳能
International development,国际发展
Cultural heritage,文化遗产
Accountability,问责
Convergence (economics),趋同（经济学）
Atmospheric correction,大气校正
History of science,科学史
Dimension (graph theory),维度（图论）
Social science education,社会科学教育
Vulcanian eruption,火山喷发
Amateur,业余
Rhizosphere,根际
Hydrography,水文学
Disease management,疾病管理
Molecular biology,分子生物学
Basis (linear algebra),基础（线性代数）
Synchronizing,同步
Postmodernism,后现代主义
Sky,天空
Web application,Web应用程序
Narrative review,叙述性综述
Urbanism,城市化
Notice,通知
Quadrangle,四边形
Metabolomics,代谢组学
Framing (construction),框架（施工）
Mega-,兆
Redistribution (election),再分配（选举）
Labour economics,劳动经济学
Swarm behaviour,群体行为
Geothermal heating,地热供暖
Tuberculosis,肺结核
Transgender,跨性别
Correlation,相关性
Strongyloides stercoralis,粪类强线虫
Bachelor,学士
Soil water,土壤水分
Urothelial carcinoma,尿路上皮癌
Beijing,北京
Decoding methods,解码方法
Outlier,异常值
History,历史
Perspective (graphical),透视图（图形）
Inclusion (mineral),夹杂物（矿物）
Curriculum,课程
Non-histone protein,非组蛋白
Student engagement,学生参与度
Web mapping,Web映射
Unintended pregnancy,意外怀孕
Collaborative learning,协作学习
Pairwise comparison,成对比较
Centromere,着丝粒
Ancient history,古代历史
Sand mining,采砂
Regression analysis,回归分析
3D modeling,三维建模
Literacy,读写能力
Political economy,政治经济学
Citizen science,公民科学
Drainage density,河网密度
Gene isoform,基因异构体
Urban design,城市设计
Climate justice,气候正义
Creative visualization,创意可视化
Psychology,心理学
Microglia,小胶质细胞
Computable general equilibrium,可计算一般均衡
Food insecurity,粮食不安全
Agricultural biodiversity,农业生物多样性
Inference engine,推理机
Preprocessor,预处理器
Urban regeneration,城市更新
Search for extraterrestrial intelligence,寻找外星智慧
Breast cancer,乳腺癌
Harmonization,协调
Multi-user MIMO,多用户MIMO
Brain mapping,脑功能图
Edge computing,边缘计算
Knowledge sharing,知识共享
Coastal management,海岸管理
Flexibility (engineering),灵活性（工程）
Flow velocity,流速
User modeling,用户建模
Civilian population,平民人口
Meltwater,融水
Flooding (psychology),洪水（心理学）
National security,国家安全
International humanitarian law,国际人道主义法
Megacity,巨型城市
Geomorphology,地貌学
Carbon fibers,碳纤维
Grassland,草原
Shortwave,短波
Flux (metallurgy),焊剂（冶金）
The arctic,北极
Satellite image,卫星图像
Degradation (telecommunications),退化（电信）
Point (geometry),点（几何）
Similarity (geometry),相似性（几何）
Spatial ecology,空间生态学
Permafrost,永久冻土
Architectural engineering,建筑工程
Survey data collection,调查数据收集
Discriminative model,判别式
Exploit,利用
Pyroclastic rock,火山碎屑岩
Fuzzy logic,模糊逻辑
Health intervention,健康干预
Mainland,大陆
Hierarchical database model,分层数据库模型
Global change,全球变化
Dynamism,活力
Postcolonialism (international relations),后殖民主义（国际关系）
Scale (ratio),比例（比率）
Index (typography),索引（排版）
Nucleosome,核小体
Transformation (genetics),转化（遗传学）
Volcano,火山
Point cloud,点云
Discourse analysis,话语分析
Landform,地形地貌
Chemistry,化学
Agricultural productivity,农业生产力
Information theory,信息论
Conceptual framework,概念框架
Principal component analysis,主成分分析
Ensemble forecasting,集合预报
Principal (computer security),校长（计算机安全）
Soil functions,土壤功能
Soil science,土壤科学
Scheme (mathematics),方案（数学）
Crop rotation,轮作
Natural language processing,自然语言处理
First world war,第一次世界大战
Proxy (statistics),代理（统计）
Table (database),表（数据库）
Image fusion,图像融合
Schizosaccharomyces,裂殖酵母
Water erosion,水蚀
Fjord,峡湾
Timestamp,时间戳
Engineering management,工程管理
Writing system,文字
Dilation (metric space),膨胀（公制空间）
Inkwell,墨水瓶
Control (management),控制（管理）
United States National Security Agency,美国国家安全局
Armed conflict,武装冲突
Traditional knowledge,传统知识
Standardization,标准化
Analytics,分析
Historical record,历史记录
Reproductive health,生殖健康
Cloud computing,云计算
Acacia,金合欢
Climate extremes,极端气候
Dolomite,白云石
Business,商业
Engineering ethics,工程伦理
Semantic reasoner,语义推理器
Performative utterance,表演性话语
Public participation,公众参与
Agricultural communication,农业传播
Rural area,农村地区
Empirical research,实证研究
Entropy (arrow of time),熵（时间箭头）
Agency (philosophy),代理（哲学）
Indus,印度河
Landscape ecology,景观生态学
Genealogy,家谱
Transport network,运输网络
Interpretability,可解释性
Pastoralism,畜牧
Integrated water resources management,水资源综合管理
Historiography,史学
Canopy,树冠
Seagrass,海草
Smart objects,智能对象
Knowledge economy,知识经济
Biosphere,生物圈
Imaging spectroscopy,成像光谱学
Data set,数据集
Information and Communications Technology,信息与通信技术
Protocol (science),协议（科学）
Archival science,档案学
Topology (electrical circuits),拓扑（电路）
Submarine pipeline,海底管道
Spatial database,空间数据库
Cybernetics,控制论
Local government,地方政府
Process (computing),过程（计算）
Enhanced Data Rates for GSM Evolution,GSM演进的增强数据速率
Notional amount,名义本金
Analytic hierarchy process,层次分析
Management,管理
Telecommunications,电信
Public international law,国际公法
Information Dissemination,信息传播
Rand index,兰德指数
Deliverable,可交付成果
Conversation,对话
Spatial network,空间网络
Data sharing,数据共享
Nautical chart,海图
Haplotype,单倍型
Colonialism,殖民主义
Agronomy,农学
Waste management,废物管理
Law,法律
Futures contract,期货合约
Soil organic matter,土壤有机质
Linear discriminant analysis,线性判别分析
Phylogenetics,系统发生学
Einstein,爱因斯坦
Aggregate (composite),骨料（复合材料）
Contextual image classification,上下文图像分类
Ice stream,冰流
Virtual learning environment,虚拟学习环境
Delta,德尔塔
Redundancy (engineering),冗余（工程）
Economic cost,经济成本
Foregrounding,前景化
Physics,物理学
Vector map,矢量地图
Mathematical optimization,数学优化
Experiential learning,体验式学习
Radiation therapy,放射治疗
Data quality,数据质量
Identifier,标识符
Political science,政治学
Applied psychology,应用心理学
Order (exchange),订单（交换）
Mutual information,相互信息
Natural (archaeology),自然（考古学）
Carbon credit,碳信用
Interdependence,相互依存
Pancreas,胰腺
Targeted therapy,靶向治疗
Lidar,激光雷达
Multinomial logistic regression,多项逻辑回归
Baseflow,基流
Logistic regression,逻辑回归
Water supply,供水
Research design,研究设计
Electroencephalography,脑电图
Perception,感知
Planet,行星
Complex system,复杂系统
Information society,信息社会
Biological dispersal,生物扩散
Nonlinear system,非线性
Axiomatic system,公理系统
Base flow,基本流量
City region,城市区域
Coastal hazards,海岸灾害
Soil texture,土壤质地
Adversarial system,对抗制
Environmental degradation,环境退化
Dual (grammatical number),对偶（语法数字）
Workflow,工作流程
Sociology,社会学
Earth science,地球科学
Mediterranean climate,地中海气候
Central city,中心城市
Restoration ecology,恢复生态学
Surface irrigation,地表灌溉
Protein–protein interaction,蛋白质-蛋白质相互作用
Agricultural economics,农业经济学
Mechanism (biology),机制（生物学）
Soil cover,土壤覆盖
Temporal scales,时间尺度
Train,火车
Descriptive statistics,描述性统计
Relocation,搬迁
Social accounting matrix,社会会计矩阵
Shore,岸
Tarim basin,塔里木盆地
Hazard analysis,危害分析
Thematic map,专题地图
Ecohydrology,生态水文学
Deliberation,深思熟虑
Photo elicitation,照片启发
Interoperation,互操作
File format,文件格式
Environmental protection,环境保护
Discharge,排放
Beneficiary,受益人
Internal conflict,内部冲突
Psychological resilience,心理弹性
Generalized Pareto distribution,广义帕累托分布
Geodetic datum,大地测量基准
Measure (data warehouse),测量（数据仓库）
Battlefield,战场
Regression,回归
Urban sustainability,城市可持续性
Extraction (chemistry),萃取（化学）
Agribusiness,农业综合企业
Agriculture,农业
Public administration,公共行政
Industrial heritage,工业遗产
Erasure,擦除
Social connectedness,社会联系
Cultural diversity,文化多样性
Ethnic group,族群
Heterochromatin,异染色质
Automation,自动化
Restructuring,重组
Catchment area,集水区
Spectrometer,光谱仪
Counterfactual thinking,反事实思维
Computer science,计算机科学
Theme (computing),主题（计算）
Altimeter,高度计
Respondent,受访者
Geothermal gradient,地温梯度
Land tenure,土地保有权
Revenue model,收入模式
Lasso (programming language),Lasso（编程语言）
Digital health,数字健康
Class size,班级规模
Mangrove,红树林
Optical flow,光流
Timeline,时间线
PsycINFO,心理学文摘
Pollutant,污染物
Efficient energy use,高效利用能源
Carbon sequestration,碳固存
Urban studies,城市研究
Government (linguistics),政府（语言学）
Land use,土地利用
Dissemination,传播
Transformation processes,转换过程
Drainage,排水
Change detection,变化检测
Abstraction,抽象
Intermediary,中介
Human factors and ergonomics,人因工程与工效学
Personalization,个性化
Scope (computer science),范围（计算机科学）
Process management,进程管理
Sample (material),样品（材料）
Obesity,肥胖
Occupational safety and health,职业安全与健康
Evolutionary biology,进化生物学
Throughflow,通流
Global temperature,全球温度
Inference,推断
Tectonics,构造地质学
Plasma protein binding,血浆蛋白结合
Ecological assessment,生态评估
Microclimate,小气候
Neglected tropical diseases,忽视的热带病
Public economics,公共经济学
Environmental quality,环境质量
China,中国
Wage,工资
General assembly,联合国大会
Weighting,加权
Statistical model,统计模型
Building information modeling,建筑信息模型
Artificial intelligence,人工智能
Set (abstract data type),Set（抽象数据类型）
Local adaptation,本地化适应
Mangrove ecosystem,红树林生态系统
Digital learning,数字化学习
Natural resource,自然资源
Interferometric synthetic aperture radar,干涉合成孔径雷达
Humanities,人文学科
Ephemeral key,临时密钥
Paleontology,古生物学
Geospatial analysis,空间分析
Calculus (dental),牙结石
Street network,网络街道
Social work,社会工作
Metaheuristic,元启发式
Hegemony,霸权
Compendium,纲要
Programming language,编程语言
Earth system science,地球系统科学
Partial least squares regression,偏最小二乘回归
Panel data,面板数据
Core (optical fiber),纤芯（光纤）
Cognitive architecture,认知架构
Event (particle physics),事件（粒子物理学）
Literature,文学
Lithology,岩性
Urban heat island,城市热岛
Hospitality,好客
Demographics,人口统计
Support vector machine,支持向量机
Greenhouse gas,温室气体
Marine ecosystem,海洋生态系统
Web service,Web服务
Proportionality (law),比例（法律）
Soil conservation,水土保持
Immediacy,即时性
Vietnamese,越南语
Prescribed burn,规定烧伤
Environmental engineering,环境工程
Public sector,公共部门
Public awareness of science,公众科学意识
Eddy covariance,涡度相关法
Green infrastructure,绿色基础设施
Structure and agency,结构与能动性
Biodiversity hotspot,生物多样性热点
Chemical biology,化学生物学
Feature learning,特征学习
Real-time computing,实时计算
Vendor,供应商
Educational research,教育研究
Homeland security,国土安全
Terrestrial ecosystem,陆地生态系统
Training set,训练集
Reading (process),阅读（过程）
Land cover,土地覆盖
Surface runoff,地表径流
Satellite imagery,卫星图像
Reciprocal,相互的
Constant (computer programming),常数（计算机编程）
Fusion,融合
Series (stratigraphy),系列（地层学）
Levee,堤坝
Geopolitics,地缘政治
WS-Policy,网络服务协议
Social learning,社会学习
Python (programming language),Python（编程语言）
