title,year,keywords,source,doi
The RANS value of the sampling point,2026,Sampling (signal processing); Mathematics; Value (mathematics); Statistics; Point (geometry); Measure (data warehouse); Remote sensing; Applied mathematics; Limit (mathematics),OpenAlex,https://doi.org/10.6084/m9.figshare.31475854.v1
"Towards high-spatial-resolution, multi-depth soil water content estimation via SAR data and multimodal deep learning",2026,Deep learning; Ground truth; Remote sensing; Computer science; Convolutional neural network; Field (mathematics); Mean squared error; Feature (linguistics); Image resolution; Artificial intelligence; Artificial neural network; Spatial analysis; Precision agriculture; Estimation; Machine learning; Synthetic aperture radar; Environmental science; Data mining; Water content; Surface water; Soil water,OpenAlex,https://doi.org/10.1007/s11119-026-10322-z
"An integrated approach leveraging remote sensing, geospatial analysis, and machine learning algorithms for high-resolution wildfire susceptibility assessment and identification of environmental drivers in El Tarf Province, Algeria",2026,Geospatial analysis; Interpretability; Random forest; Machine learning; Computer science; Remote sensing; Spatial analysis; Environmental science; Artificial intelligence; Land cover; Spatial database; Normalized Difference Vegetation Index; Environmental resource management; Geographic information system; Ensemble learning; Algorithm; Vegetation (pathology); Downscaling; Data set,OpenAlex,https://doi.org/10.1007/s10661-026-15080-z
CARTOGRAPHIC ANALYSIS OF THE SPATIAL–ECOLOGICAL STRUCTURE OF ZOOPLANKTON DEVELOPMENT IN NATURAL LAKE ECOSYSTEMS USING GIS (A CASE STUDY OF THE FERGANA VALLEY),2026,Zooplankton; Environmental science; Thematic map; Ecosystem; Lake ecosystem; Geographic information system; Trophic level; Bioindicator; Geography; Biomass (ecology); Ecology; Water quality; Plankton; Remote sensing; Zoning; Natural (archaeology),OpenAlex,https://doi.org/10.5281/zenodo.18859518
6ABOS: 6S-based Atmospheric Background Offset Subtraction v1.1.5,2026,Reflectivity; Aerosol; Environmental science; Remote sensing; Computer science; Offset (computer science); Atmospheric correction; Meteorology,OpenAlex,https://doi.org/10.5281/zenodo.18232368
"Spatiotemporal Analysis of Riverbank Erosion, Accretion, and Channel Shifting of the Bukhainagar River (1990–2020) Using geospatial Technique in Southern Bangladesh",2026,Accretion (finance); Geospatial analysis; Erosion; Channel (broadcasting); Satellite imagery; Remote sensing; Digital elevation model; Livelihood; Hydrology (agriculture); Physical geography; Geographic information system; Environmental science; Satellite; Bank erosion; Geography; Environmental resource management; Coastal erosion,OpenAlex,https://doi.org/10.21203/rs.3.rs-9016332/v1
Automated Levee Detection in Digital Elevation Models,2026,Digital elevation model; Levee; Flood myth; Remote sensing; Elevation (ballistics); Flood risk assessment; Natural hazard; Environmental science; Geology; Geographic information system; Hazard; Flooding (psychology); Hydrology (agriculture); Risk assessment; Scale (ratio),OpenAlex,https://doi.org/10.31223/x57x8x
Panel Dataset: Urban Evolution Analysis of Taichung City (2018–2025),2026,Geography; Remote sensing; Sampling (signal processing); Regional science; Urban planning; Physical geography; Urban heat island,OpenAlex,https://doi.org/10.5281/zenodo.18864450
Nine changes needed to deliver a radical transformation in biodiversity measurement,2026,Resilience (materials science); Biodiversity; Identification (biology); Environmental resource management; Citizen science; Indigenous; Field (mathematics); Key (lock); Computer science; Business; Risk analysis (engineering); Data science; Emerging technologies; Psychological resilience; Sustainable development; Environmental planning; Traditional knowledge; Ecosystem services; Sustainability; Data collection,OpenAlex,https://doi.org/10.1073/pnas.2519345123
Groundwater Recharge in Crisis: Analyzing the Impact of Urban Growth on Monterrey’s Aquifer Health in the Face of the Rio Grande’s Current Conditions,2026,Groundwater recharge; Environmental science; Hydrology (agriculture); Groundwater; Water resource management; Aquifer; Depression-focused recharge; Metropolitan area; Water table; Drainage; Thematic map; Baseflow; Vegetation (pathology); Water scarcity,OpenAlex,https://doi.org/10.3390/w18050616
PSiam-HDSFNet: A Pseudo-Siamese Hybrid Dilation Spiral Feature Network for Flood Inundation Change Detection Based on Heterogeneous Remote Sensing Imagery,2026,Remote sensing; Change detection; Computer science; Flood myth; Feature (linguistics); Pyramid (geometry); Residual; Artificial intelligence; Feature extraction; Computer vision; Dilation (metric space); Stereoscopy; Geology; Remote sensing application; Pattern recognition (psychology); Noise (video); Pixel; Segmentation; Synthetic aperture radar,OpenAlex,https://doi.org/10.3390/rs18050788
Landscape-scale experimental proof that tall wet Eucalyptus regrowth burns more severely than mature forest,2026,Environmental science; Eucalyptus; Flammable liquid; Microclimate; Vegetation (pathology); Litter; Canopy; Forestry; Prescribed burn; Growing season; Plant litter; Thinning; Agroforestry; Woody plant; Fire ecology; Field experiment; Agronomy; Combustibility; Coarse woody debris; Altitude (triangle),OpenAlex,https://doi.org/10.1088/1748-9326/ae4d62
Reviews and syntheses: Eddy covariance-based evapotranspiration partitioning,2026,Eddy covariance; Evapotranspiration; Transpiration; Environmental science; Water cycle; Canopy conductance; Ecosystem; Precipitation; Vapour Pressure Deficit; Primary production; Water use; Temporal scales; Climate change; Atmospheric sciences; Ecohydrology; Flux (metallurgy); Water-use efficiency,OpenAlex,https://doi.org/10.5194/egusphere-2026-906
Journal of GIS based Historical Studies,2029,Computer science; Geography; Data science,OpenAlex,https://doi.org/10.5281/zenodo.7368979
A UAV-Based Framework for Community-Scale Residential Building Energy Modelling in China,2029,Context (archaeology); Exploit; Efficient energy use; Systems engineering; Computer science; Photogrammetry; Scalability; Toolchain; Workflow; Automation; Instrumentation (computer programming); Data collection; Energy (signal processing); Embodied energy; Engineering; Orthophoto; Energy modeling; Building energy simulation; Energy planning; Building information modeling; Building management system; Building automation,OpenAlex,https://doi.org/10.17638/03195460
ಕರನಟಕ ಮತತ ಕರಳದ ಅರಣಯ ಸರಕಷತ ಪರದಶಗಳನನ ಸಪರಕಸವ ವನಯಜವ ಕರಡರಗಳ ಮಲ ಭದಶಯ ವಘಟನಯ ಪರಣಮ,2026,,OpenAlex,https://doi.org/10.5281/zenodo.18160207
ಕರನಟಕ ಮತತ ಕರಳದ ಅರಣಯ ಸರಕಷತ ಪರದಶಗಳನನ ಸಪರಕಸವ ವನಯಜವ ಕರಡರಗಳ ಮಲ ಭದಶಯ ವಘಟನಯ ಪರಣಮ,2026,,OpenAlex,https://doi.org/10.5281/zenodo.18160206
Bridging natural language and GIS: a multi-agent framework for LLM-driven autonomous geospatial analysis,2026,Computer science; Geospatial analysis; Workflow; Bridging (networking); Executable; Task (project management); Software engineering; Automated reasoning; Architecture; Semantics (computer science); Task analysis; Natural language; Geographic information system; Artificial intelligence; Spatial intelligence,OpenAlex,https://doi.org/10.1080/17538947.2026.2633849
O'ZBEKISTONDA RAQAMLI TARIX ASOSIDA O'RTA ASR MANBALARINI TAHLIL QILISH IMKONIYATLARI,2026,Metadata; Computer science; Character (mathematics); Natural language processing,OpenAlex,https://doi.org/10.5281/zenodo.18841206
O'ZBEKISTONDA RAQAMLI TARIX ASOSIDA O'RTA ASR MANBALARINI TAHLIL QILISH IMKONIYATLARI,2026,Metadata; Computer science; Character (mathematics); Natural language processing,OpenAlex,https://doi.org/10.5281/zenodo.18841205
Interdisciplinary Analysis of Water UBH: The Palombaro Purgatorio Vecchio Infrastructure in Matera,2026,Foundation (evidence); Photogrammetry; Environmental planning; Environmental resource management; Engineering; Civil engineering; Multidisciplinary approach; Construction engineering; Natural (archaeology); World heritage; Cultural heritage; Selection (genetic algorithm); Knowledge base; Geography,OpenAlex,https://doi.org/10.3390/heritage9030102
"Artisanal and small-scale gold mining–driven settlement expansion and socio-environmental pressures in East Cameroon, Sub-Saharan Africa",2026,Human settlement; Settlement (finance); Gold mining; Geography; Population; Land cover; Rural settlement; Environmental degradation; Environmental planning; Environmental resource management; Land use; Geographic information system; Land reclamation; Environmental protection; Surface mining; Sand mining,OpenAlex,https://doi.org/10.1007/s44288-026-00468-8
PENENTUAN JALUR ALTERNATIF  EVAKUASI BENCANA KEBAKARAN DENGAN METODE GIS BERBASIS MASYARAKAT DI RW 14 KELURAHAN SEKELOA KOTA BANDUNG,2026,Environmental planning; Citizen journalism; Emergency management; Government (linguistics); Vulnerability (computing); Environmental resource management; Business; Service (business); Participatory rural appraisal; Geography; Local government; Focus group; Participatory GIS; Vulnerability assessment; Transport engineering; Dissemination; Tower,OpenAlex,https://doi.org/10.34010/icomse.v7i1.17587
Fine-tuning Small Language Models (SLMs) for autonomous web-based geographical information systems (AWebGIS),2026,Computer science; Geospatial analysis; Natural language; Similarity (geometry); Metric (unit); Host (biology); Cloud computing; Information system; Semantics (computer science); Natural language generation; Levenshtein distance; Language model; Geographic information system; World Wide Web; Data modeling,OpenAlex,https://doi.org/10.6084/m9.figshare.31483343
Fine-tuning Small Language Models (SLMs) for autonomous web-based geographical information systems (AWebGIS),2026,Computer science; Geospatial analysis; Natural language; Similarity (geometry); Metric (unit); Host (biology); Cloud computing; Information system; Semantics (computer science); Natural language generation; Levenshtein distance; Language model; Geographic information system; World Wide Web; Data modeling,OpenAlex,https://doi.org/10.6084/m9.figshare.31483343.v1
"Groundwater recharge and GOD–T vulnerability datasets for the Moniquirá–Sutamarchán River basin (Boyacá, Colombia)",2026,Groundwater recharge; Hydrogeology; Aquifer; Hydrology (agriculture); Groundwater; Drainage basin; Geology; Digital elevation model; Geographic information system; Hydrometeorology; Spatial distribution; Environmental science; Structural basin; Vadose zone; Groundwater model; Vulnerability (computing); Hydrological modelling; Geostatistics; Spatial analysis; Lithology; Vulnerability assessment; Spatial variability; Spatial database; Surface water; Common spatial pattern; Water resource management,OpenAlex,https://doi.org/10.17632/zcxj4z822c
A city-based framework identifies wild Hedychium species suitable for near-nature urban landscaping in China,2026,Landscaping; Geography; Habitat; Sustainability; China; Ecology; Biodiversity; Agroforestry; Climate change; Environmental resource management,OpenAlex,https://doi.org/10.1038/s41598-026-37132-7
Mise à contribution des automates cellulaires et de la chaîne de MARKOV dans la modélisation de l'occupation du sol dans les bassins versants aval de Lom Pangar,2026,Forestry; Geography; Geology,OpenAlex,https://doi.org/10.5281/zenodo.18862900
The Scalar-Imprint Field: Phenomenological Constraints and the Cosmological Drift of Newton's Constant,2026,Physics; Observable; Dimensionless quantity; Action (physics); Coupling (piping); Scalar field; Classical mechanics; Gauge (firearms); Statistical physics; Cosmological constant; Scalar (mathematics); Gravitation; Field (mathematics); Einstein; Constant (computer programming); Exponential function; Current (fluid); Coupling parameter; Coupling constant; Non-equilibrium thermodynamics; Binary number; Cosmology; Theoretical physics,OpenAlex,https://doi.org/10.5281/zenodo.18856313
NODES - SPOKE 6 Project VINO - D1.1 - D1.2 - Report on Suitability maps for grapevines and supplementary crops for actual and future climatic conditions at macro scale,2026,Deliverable; Vineyard; Scale (ratio); Macro; European union; Environmental resource management; Climate change; Downscaling; Environmental science; Geography; Environmental planning,OpenAlex,https://doi.org/10.5281/zenodo.18860615
Optimizing landfill siting in Lilongwe City through integration of geospatial analysis and community perspectives,2026,Geospatial analysis; Analytic hierarchy process; Environmental planning; Urbanization; Geographic information system; Environmental resource management; Municipal solid waste; Geography; Population; Site selection; Corporate governance; Public health; Process (computing); Geomatics; Public participation; Business; Geographically Weighted Regression; Sanitary sewer; Hierarchy,OpenAlex,https://doi.org/10.1007/s44274-026-00630-6
KlemenCE548/Fractal-dimension-of-line-features-Repo: Code for: An automated GIS model for calculating horizontal and vertical fractal dimensions of hiking trails,2026,Fractal dimension; Fractal; Python (programming language); Scripting language; Computer science; Dimension (graph theory); Grid; Box counting; Fractal analysis; Digital elevation model; Feature (linguistics); Set (abstract data type); Horizontal line test; Code (set theory); Geographic information system; Data mining; Range (aeronautics); Algorithm; Spatial analysis; Line (geometry); Computer graphics (images); Mathematics; Sequence (biology),OpenAlex,https://doi.org/10.5281/zenodo.18860498
NODES - SPOKE 6 Project VINO - D1.1 - D1.2 - Report on Suitability maps for grapevines and supplementary crops for actual and future climatic conditions at macro scale,2026,Deliverable; Vineyard; Scale (ratio); Macro; European union; Environmental resource management; Climate change; Downscaling; Environmental science; Geography; Environmental planning,OpenAlex,https://doi.org/10.5281/zenodo.18860616
The Scalar-Imprint Field: Phenomenological Constraints and the Cosmological Drift of Newton's Constant,2026,Physics; Observable; Dimensionless quantity; Action (physics); Coupling (piping); Scalar field; Classical mechanics; Gauge (firearms); Statistical physics; Cosmological constant; Scalar (mathematics); Gravitation; Field (mathematics); Einstein; Constant (computer programming); Exponential function; Current (fluid); Coupling parameter; Coupling constant; Non-equilibrium thermodynamics; Binary number; Cosmology; Theoretical physics,OpenAlex,https://doi.org/10.5281/zenodo.18856312
"Groundwater recharge and GOD–T vulnerability datasets for the Moniquirá–Sutamarchán River basin (Boyacá, Colombia)",2026,Groundwater recharge; Hydrogeology; Aquifer; Hydrology (agriculture); Groundwater; Drainage basin; Geology; Digital elevation model; Geographic information system; Hydrometeorology; Spatial distribution; Environmental science; Structural basin; Vadose zone; Groundwater model; Vulnerability (computing); Hydrological modelling; Geostatistics; Spatial analysis; Lithology; Vulnerability assessment; Spatial variability; Spatial database; Surface water; Common spatial pattern; Water resource management,OpenAlex,https://doi.org/10.17632/zcxj4z822c.1
Maps underlying the publication: Mapping Randstad Holland revisited,2026,Interoperability; Geography; Cartography; Georeference; Digital mapping; Computer science; Architecture; Set (abstract data type); Regional science; Data mapping; Geocoding; Data science; Geographic information system; Metadata; Information retrieval; Series (stratigraphy); Spatial analysis; Data mining,OpenAlex,https://doi.org/10.4121/0a848c83-e9de-4ac0-a510-2a41c5821b15.v1
Spatial Analysis of Soil Erosion in the Ceyhan Basin (Turkey) With GIS and the RUSLE Model,2026,Structural basin; Land cover; Erosion; Environmental science; Hydrology (agriculture); Soil conservation; Mediterranean climate; Mediterranean Basin; Cover (algebra); Soil water; Land use; Water erosion; Erosion control; Geology; Universal Soil Loss Equation; Remote sensing; Soil cover,OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch005
A GIS-RANCOM integrated methodology for post-disaster debris waste storage site selection problem,2026,Ranking (information retrieval); Context (archaeology); Site selection; Agency (philosophy); Emergency management; Waste management; Environmental science; Debris; Environmental planning; Selection (genetic algorithm); Engineering; Environmental impact assessment; Civil engineering; Radioactive waste,OpenAlex,https://doi.org/10.1007/s13762-026-07106-3
Water Recharge Zone and Community Participation in the Management of the Totorani Micro-Watershed,2026,Groundwater recharge; Wetland; Environmental planning; Stakeholder; Citizen journalism; Geography; Water resource management; Environmental science; Environmental resource management; Agriculture; Hydrology (agriculture); Public participation; Social learning; Ecosystem services; Water conservation; Integrated water resources management; Rainwater harvesting,OpenAlex,https://doi.org/10.3390/su18052495
"Evaluating Random Forest Model Performance for Cave and Sinkhole Prediction in the Cradle of Humankind, South Africa: Preliminary Analysis and Variable Importance Assessments",2026,Sinkhole; Cave; Karst; Digital elevation model; Random forest; Variable (mathematics); Geology; Elevation (ballistics); Remote sensing; Raster graphics; Vegetation (pathology); Satellite imagery; Physical geography; Multispectral image; Cartography; Predictive modelling; Python (programming language); Dolomite; Shuttle Radar Topography Mission; Variables,OpenAlex,https://doi.org/10.1007/s10816-025-09761-1
NEFT VA GAZ KONLARINI IZLASHDA XARITALASHNING AEROKOSMIK USULLARINING AHAMIYATI,2026,Geology,OpenAlex,https://doi.org/10.70769/3030-3214.srt.4.1.2026.14
Spatiotemporal Distribution Characteristics and Influencing Factors of Neolithic Ancient Sites in Henan Province Based on GIS,2026,Geography; Prehistory; Distribution (mathematics); Archaeology; Civilization; Spatial distribution; Physical geography; Range (aeronautics); Subsistence agriculture; Indus; Kernel density estimation; Statistical analysis; Excavation; Flake,OpenAlex,https://doi.org/10.21203/rs.3.rs-8830445/v1
Publications of the Research Institute for Mathematical Sciences,2026,Mathematics; Mathematical sciences; Mathematics education; Library science,OpenAlex,https://doi.org/10.4171/prims
"Land Use, Street Design, and Older Adults’ Active Travel: Uncovering Nonlinear Effects in Multi-Scale Convenient Living Circles",2026,Gradient boosting; Psychological intervention; Computer science; Scale (ratio); Poison control; Built environment; Construct (python library); Intervention (counseling); Econometrics; Boosting (machine learning); Nonlinear system; Transport engineering; Unit (ring theory),OpenAlex,https://doi.org/10.3390/ijgi15030109
Mapping the Mind in Motion: A Multi-Method GIS–SEM–NCA Model of Green Exposure and Psychological Restoration in Urban Jogging Environments,2026,Social connectedness; Structural equation modeling; Psychology; Green infrastructure; Partial least squares regression; Social psychology; Urban environment; Vegetation (pathology); Mental health; Compatibility (geochemistry); Sustainable development,OpenAlex,https://doi.org/10.21203/rs.3.rs-8871138/v1
