序号,关键词,出现次数,占比(%),累计占比(%)
98,点（几何）,8,0.16,37.47
99,专题地图,8,0.16,37.63
100,中国,8,0.16,37.79
101,空格（标点符号）,8,0.16,37.95
102,文档,8,0.16,38.11
103,降水,8,0.16,38.27
104,定性研究,8,0.16,38.43
105,爱因斯坦,8,0.16,38.59
106,过程（计算）,8,0.16,38.75
107,危险,8,0.16,38.91
108,原始数据,8,0.16,39.07
109,环境健康,8,0.16,39.23
110,数学,8,0.16,39.39
111,数字高程模型,8,0.16,39.55
112,比例（比率）,8,0.16,39.71
113,遥感应用,8,0.16,39.87
114,事件（粒子物理学）,8,0.16,40.03
115,多光谱图像,7,0.14,40.17
116,脆弱性评估,7,0.14,40.31
117,土地利用、土地利用变化和林业,7,0.14,40.45
118,气候学,7,0.14,40.59
119,人权,7,0.14,40.73
120,预警系统,7,0.14,40.87
121,自然灾害,7,0.14,41.01
122,可扩展性,7,0.14,41.15
123,建筑,7,0.14,41.29
124,建筑工程,7,0.14,41.43
125,物理学,7,0.14,41.57
126,古代历史,7,0.14,41.71
127,算法,7,0.14,41.85
128,选择（遗传算法）,7,0.14,41.99
129,现象,7,0.14,42.13
130,质量（哲学）,7,0.14,42.27
131,自然资源经济学,7,0.14,42.41
132,空间规划,7,0.14,42.55
133,美学,7,0.14,42.69
134,Python（编程语言）,7,0.14,42.83
135,随机森林,7,0.14,42.97
136,地下水补给,7,0.14,43.11
137,数据收集,7,0.14,43.25
138,能源（信号处理）,7,0.14,43.39
139,国家（计算机科学）,6,0.12,43.51
140,心理干预,6,0.12,43.63
141,计量经济学,6,0.12,43.75
142,蓝碳,6,0.12,43.87
143,地下水,6,0.12,43.99
144,医疗保健,6,0.12,44.11
145,概念框架,6,0.12,44.23
146,地形,6,0.12,44.35
147,命题,6,0.12,44.47
148,脚本语言,6,0.12,44.59
149,土壤碳,6,0.12,44.71
150,洪水（心理学）,6,0.12,44.83
151,测绘学,6,0.12,44.95
152,经济学,6,0.12,45.07
153,平面图（考古学）,6,0.12,45.19
154,因果关系（物理学）,6,0.12,45.31
155,转变（遗传学）,6,0.12,45.43
156,科学哲学,6,0.12,45.55
157,栖息地,6,0.12,45.67
158,气候模式,6,0.12,45.79
159,排水,6,0.12,45.91
160,空间变异性,6,0.12,46.03
161,宇宙,6,0.12,46.15
162,土著,6,0.12,46.27
163,林业,6,0.12,46.39
164,大地测量学,6,0.12,46.51
165,焦点小组,6,0.12,46.63
166,空间分布,6,0.12,46.75
167,文件格式,6,0.12,46.87
168,碳固存,6,0.12,46.99
169,最高法院,6,0.12,47.11
170,卡尔波普尔,6,0.12,47.23
171,大爆炸（金融市场）,6,0.12,47.35
172,否认,6,0.12,47.47
173,价值（数学）,6,0.12,47.59
174,帝国,6,0.12,47.71
175,地球观测,6,0.12,47.83
176,日蚀,5,0.1,47.93
177,稳定性（学习理论）,5,0.1,48.03
178,碳纤维,5,0.1,48.13
179,焦点（光学）,5,0.1,48.23
180,多光谱模式识别,5,0.1,48.33
181,日食,5,0.1,48.43
182,粮食安全,5,0.1,48.53
183,地表径流,5,0.1,48.63
184,分割,5,0.1,48.73
185,稳健性（进化）,5,0.1,48.83
186,数据处理,5,0.1,48.93
187,Set（抽象数据类型）,5,0.1,49.03
188,互操作性,5,0.1,49.13
189,计算机图形学（图像）,5,0.1,49.23
190,归一化植被指数,5,0.1,49.33
191,人文学科,5,0.1,49.43
192,土壤水分,5,0.1,49.53
193,进程管理,5,0.1,49.63
194,叙述,5,0.1,49.73
195,功率（物理）,5,0.1,49.83
196,逻辑回归,5,0.1,49.93
197,应急管理,5,0.1,50.03
198,民族学,5,0.1,50.13
199,系统工程,5,0.1,50.23
200,运筹学,5,0.1,50.33
201,服务（商业）,5,0.1,50.43
202,语义学（计算机科学）,5,0.1,50.53
203,结算（财务）,5,0.1,50.63
204,深度学习,5,0.1,50.73
205,土木工程,5,0.1,50.83
206,城市设计,5,0.1,50.93
207,构造盆地,5,0.1,51.03
208,集成学习,5,0.1,51.13
209,生计,5,0.1,51.23
210,缩小规模,5,0.1,51.33
211,交通工程,5,0.1,51.43
212,转化式学习,5,0.1,51.53
213,建筑环境,5,0.1,51.63
214,决策支持系统,5,0.1,51.73
215,城市热岛,5,0.1,51.83
216,网格,5,0.1,51.93
217,人工神经网络,5,0.1,52.03
218,适应（眼睛）,5,0.1,52.13
219,目标检测,5,0.1,52.23
220,捷克,5,0.1,52.33
221,冲突解决,5,0.1,52.43
222,文明,5,0.1,52.53
223,分布（数学）,5,0.1,52.63
224,作物,5,0.1,52.73
225,政治经济学,5,0.1,52.83
226,碳循环,5,0.1,52.93
227,殖民主义,5,0.1,53.03
228,加权,5,0.1,53.13
229,透视图（图形）,5,0.1,53.23
230,维度（图论）,5,0.1,53.33
231,侵蚀,5,0.1,53.43
232,频道（广播）,4,0.08,53.51
233,胰腺癌,4,0.08,53.59
234,数理经济学,4,0.08,53.67
235,神经科学,4,0.08,53.75
236,软件,4,0.08,53.83
237,主题（文件）,4,0.08,53.91
238,数据质量,4,0.08,53.99
239,重新开发,4,0.08,54.07
240,索引（排版）,4,0.08,54.15
241,编码（社会科学）,4,0.08,54.23
242,土地复垦,4,0.08,54.31
243,分歧（语言学）,4,0.08,54.39
244,火星人,4,0.08,54.47
245,火星探测计划,4,0.08,54.55
246,美索不达米亚,4,0.08,54.63
247,佣金,4,0.08,54.71
248,论证（复杂分析）,4,0.08,54.79
249,集群（航天器）,4,0.08,54.87
250,计算生物学,4,0.08,54.95
251,课程（哲学）,4,0.08,55.03
252,性别研究,4,0.08,55.11
253,小胶质细胞,4,0.08,55.19
254,皇帝,4,0.08,55.27
255,重新解释,4,0.08,55.35
256,官僚主义,4,0.08,55.43
257,普通合伙,4,0.08,55.51
258,文字,4,0.08,55.59
259,经典,4,0.08,55.67
260,文学,4,0.08,55.75
261,霸权,4,0.08,55.83
262,北极,4,0.08,55.91
263,山体滑坡,4,0.08,55.99
264,土地利用规划,4,0.08,56.07
265,古生物学,4,0.08,56.15
266,匹配（统计）,4,0.08,56.23
267,数据可视化,4,0.08,56.31
268,样品（材料）,4,0.08,56.39
269,环境影响评价,4,0.08,56.47
270,源代码,4,0.08,56.55
271,一致性（知识库）,4,0.08,56.63
272,艺术,4,0.08,56.71
273,主成分分析,4,0.08,56.79
274,流量（数学）,4,0.08,56.87
275,营养不良,4,0.08,56.95
276,健康干预,4,0.08,57.03
277,互联网,4,0.08,57.11
278,谈判,4,0.08,57.19
279,生产（经济）,4,0.08,57.27
280,议会,4,0.08,57.35
281,冲突管理,4,0.08,57.43
282,内部冲突,4,0.08,57.51
283,发展援助,4,0.08,57.59
284,激励,4,0.08,57.67
285,建立和平,4,0.08,57.75
286,机制（生物学）,4,0.08,57.83
287,红树林生态系统,4,0.08,57.91
288,社会心理学,4,0.08,57.99
289,构造（python库）,4,0.08,58.07
290,控制（管理）,4,0.08,58.15
291,学术,4,0.08,58.23
292,恐怖主义,4,0.08,58.31
293,图书馆学,4,0.08,58.39
294,解释（哲学）,4,0.08,58.47
295,描述性统计,4,0.08,58.55
296,微生物组,4,0.08,58.63
297,教育学,4,0.08,58.71
298,相关性（法律）,4,0.08,58.79
299,地理参照,4,0.08,58.87
300,裁剪,4,0.08,58.95
301,封面（代数）,4,0.08,59.03
302,社会经济学,4,0.08,59.11
303,肺结核,4,0.08,59.19
304,空间数据库,4,0.08,59.27
305,地表水,4,0.08,59.35
306,二进制数,4,0.08,59.43
307,常数（计算机编程）,4,0.08,59.51
308,公制（单位）,4,0.08,59.59
309,地下水位,4,0.08,59.67
310,蒸散发,4,0.08,59.75
311,公共空间,4,0.08,59.83
312,全球变化,4,0.08,59.91
313,合成孔径雷达,4,0.08,59.99
314,严重急性营养不良,4,0.08,60.07
315,含水层,4,0.08,60.15
316,字符（数学）,4,0.08,60.23
317,地貌学,4,0.08,60.31
318,可执行,4,0.08,60.39
319,管理,4,0.08,60.47
320,全球变暖的影响,4,0.08,60.55
321,建筑信息模型,4,0.08,60.63
322,摄影测量,4,0.08,60.71
323,大气科学,4,0.08,60.79
324,初级生产,4,0.08,60.87
325,区域规划,4,0.08,60.95
326,人口普查,3,0.06,61.01
327,用户建模,3,0.06,61.07
328,桥（图论）,3,0.06,61.13
329,水质,3,0.06,61.19
330,分水岭,3,0.06,61.25
331,经济增长,3,0.06,61.31
332,端口（电路理论）,3,0.06,61.37
333,社会经济地位,3,0.06,61.43
334,移动应用,3,0.06,61.49
335,主题分析,3,0.06,61.55
336,智能手机应用,3,0.06,61.61
337,排放,3,0.06,61.67
338,认知科学,3,0.06,61.73
339,具身认知,3,0.06,61.79
340,医学教育,3,0.06,61.85
341,纪律,3,0.06,61.91
342,支持向量机,3,0.06,61.97
343,聚类分析,3,0.06,62.03
344,气候适应能力,3,0.06,62.09
345,异常（物理学）,3,0.06,62.15
346,含水量,3,0.06,62.21
347,地籍,3,0.06,62.27
348,表（数据库）,3,0.06,62.33
349,多样性（控制论）,3,0.06,62.39
350,协议（科学）,3,0.06,62.45
351,应对（心理学）,3,0.06,62.51
352,海岸管理,3,0.06,62.57
353,海岸灾害,3,0.06,62.63
354,战略规划,3,0.06,62.69
355,可靠性（半导体）,3,0.06,62.75
356,透明度（行为）,3,0.06,62.81
357,空间生态学,3,0.06,62.87
358,可持续管理,3,0.06,62.93
359,森林退化,3,0.06,62.99
360,环境退化,3,0.06,63.05
361,环境监测,3,0.06,63.11
362,数据提取,3,0.06,63.17
363,哲学,3,0.06,63.23
364,扩展（谓词逻辑）,3,0.06,63.29
365,地缘政治,3,0.06,63.35
366,降维,3,0.06,63.41
367,管道（软件）,3,0.06,63.47
368,维度灾难,3,0.06,63.53
369,数据建模,3,0.06,63.59
370,云计算,3,0.06,63.65
371,基础（证据）,3,0.06,63.71
372,自然语言处理,3,0.06,63.77
373,自然语言,3,0.06,63.83
374,软件工程,3,0.06,63.89
375,地方政府,3,0.06,63.95
376,景观生态学,3,0.06,64.01
377,采样（信号处理）,3,0.06,64.07
378,图像处理,3,0.06,64.13
379,投影（关系代数）,3,0.06,64.19
380,文化遗产,3,0.06,64.25
381,数据集成,3,0.06,64.31
382,特征提取,3,0.06,64.37
383,艺术史,3,0.06,64.43
384,管理科学,3,0.06,64.49
385,旅游,3,0.06,64.55
386,趋同（经济学）,3,0.06,64.61
387,航空摄影,3,0.06,64.67
388,土地开发,3,0.06,64.73
389,景观建筑,3,0.06,64.79
390,癌,3,0.06,64.85
391,恢复生态学,3,0.06,64.91
392,大数据,3,0.06,64.97
393,适应性,3,0.06,65.03
394,内科学,3,0.06,65.09
395,肿瘤学,3,0.06,65.15
396,传统知识,3,0.06,65.21
397,数学优化,3,0.06,65.27
398,基础（线性代数）,3,0.06,65.33
399,共空间模式,3,0.06,65.39
400,火山,3,0.06,65.45
401,遗传学,3,0.06,65.51
402,地球系统科学,3,0.06,65.57
403,估计,3,0.06,65.63
404,土地管理,3,0.06,65.69
405,城市气候,3,0.06,65.75
406,人口统计学,3,0.06,65.81
407,信息整合,3,0.06,65.87
408,拓扑（电路）,3,0.06,65.93
409,理论计算机科学,3,0.06,65.99
410,类型学,3,0.06,66.05
411,经济地理学,3,0.06,66.11
412,宿主（生物学）,3,0.06,66.17
413,相似性（几何）,3,0.06,66.23
414,水文气象,3,0.06,66.29
415,分区,3,0.06,66.35
416,生物指示剂,3,0.06,66.41
417,统计,3,0.06,66.47
418,代表（政治）,3,0.06,66.53
419,信息基础设施,3,0.06,66.59
420,数据共享,3,0.06,66.65
421,保障,3,0.06,66.71
422,基准（测量）,3,0.06,66.77
423,利益相关者,3,0.06,66.83
424,海岸侵蚀,3,0.06,66.89
425,可解释性,3,0.06,66.95
426,公众参与,3,0.06,67.01
427,选址,3,0.06,67.07
428,层次分析,3,0.06,67.13
429,连贯性（哲学赌博策略）,3,0.06,67.19
430,可发现性,3,0.06,67.25
431,老年学,3,0.06,67.31
432,衡平法,3,0.06,67.37
433,实证研究,3,0.06,67.43
434,认知,3,0.06,67.49
435,时间尺度,3,0.06,67.55
436,水循环,3,0.06,67.61
437,用户参与度,3,0.06,67.67
438,参与式传感,3,0.06,67.73
439,个性化,3,0.06,67.79
440,分析（计算机编程）,3,0.06,67.85
441,判别式,3,0.06,67.91
442,众包,3,0.06,67.97
443,农村地区,3,0.06,68.03
444,公理,2,0.04,68.07
445,公寓,2,0.04,68.11
446,期货合约,2,0.04,68.15
447,颗粒物,2,0.04,68.19
448,通知,2,0.04,68.23
449,危害分析,2,0.04,68.27
450,nan,2,0.04,68.31
451,自动化,2,0.04,68.35
452,计算机安全,2,0.04,68.39
453,入射角（几何形状）,2,0.04,68.43
454,队列研究,2,0.04,68.47
455,肥胖,2,0.04,68.51
456,队列,2,0.04,68.55
457,乳腺癌,2,0.04,68.59
458,失业,2,0.04,68.63
459,功能（生物学）,2,0.04,68.67
460,工程伦理,2,0.04,68.71
461,简单（哲学）,2,0.04,68.75
462,科学传播,2,0.04,68.79
463,经济正义,2,0.04,68.83
464,浮游动物,2,0.04,68.87
465,自然资源,2,0.04,68.91
466,数字地图,2,0.04,68.95
467,序列（生物学）,2,0.04,68.99
468,线条（几何图形）,2,0.04,69.03
469,标量（数学）,2,0.04,69.07
470,宇宙学常数,2,0.04,69.11
471,统计物理学,2,0.04,69.15
472,分形,2,0.04,69.19
473,分形维数,2,0.04,69.23
474,河岸侵蚀,2,0.04,69.27
475,增值（金融）,2,0.04,69.31
476,大气校正,2,0.04,69.35
477,森林覆盖率,2,0.04,69.39
478,食品系统,2,0.04,69.43
479,风速,2,0.04,69.47
480,排名（信息检索）,2,0.04,69.51
481,地中海气候,2,0.04,69.55
482,系列（地层学）,2,0.04,69.59
483,景观规划,2,0.04,69.63
484,景观评估,2,0.04,69.67
485,传感器网络,2,0.04,69.71
486,限幅,2,0.04,69.75
487,武装冲突,2,0.04,69.79
488,三维城市模型,2,0.04,69.83
489,地理编码,2,0.04,69.87
490,数据映射,2,0.04,69.91
491,精准农业,2,0.04,69.95
492,图像分辨率,2,0.04,69.99
493,卷积神经网络,2,0.04,70.03
494,真实值,2,0.04,70.07
495,农业经济学,2,0.04,70.11
496,环境数据,2,0.04,70.15
497,网络流,2,0.04,70.19
498,流路由,2,0.04,70.23
499,布线（电子设计自动化）,2,0.04,70.27
500,水文图,2,0.04,70.31
501,对抗制,2,0.04,70.35
502,传感器融合,2,0.04,70.39
503,土壤功能,2,0.04,70.43
504,土壤流失,2,0.04,70.47
505,土壤质地,2,0.04,70.51
506,有效水容量,2,0.04,70.55
507,影响评估,2,0.04,70.59
508,光栅图形,2,0.04,70.63
509,水平线测试,2,0.04,70.67
510,分形分析,2,0.04,70.71
511,盒维数法,2,0.04,70.75
512,Boosting（机器学习）,2,0.04,70.79
513,浮游生物,2,0.04,70.83
514,营养级,2,0.04,70.87
515,湖泊生态系统,2,0.04,70.91
516,碳储量,2,0.04,70.95
517,中毒控制中心,2,0.04,70.99
518,梯度提升,2,0.04,71.03
519,数学教育,2,0.04,71.07
520,农业生物多样性,2,0.04,71.11
521,地理空间PDF,2,0.04,71.15
522,网络覆盖服务,2,0.04,71.19
523,数据管理,2,0.04,71.23
524,废水,2,0.04,71.27
525,空间决策支持系统,2,0.04,71.31
526,空间流行病学,2,0.04,71.35
527,土壤分类,2,0.04,71.39
528,经典力学,2,0.04,71.43
529,标量场,2,0.04,71.47
530,永久冻土,2,0.04,71.51
531,土壤有机质,2,0.04,71.55
532,泥炭,2,0.04,71.59
533,总有机碳,2,0.04,71.63
534,绿色基础设施,2,0.04,71.67
535,社会联系,2,0.04,71.71
536,单位（环理论）,2,0.04,71.75
537,市区,2,0.04,71.79
538,方案（数学）,2,0.04,71.83
539,信息图,2,0.04,71.87
540,标识符,2,0.04,71.91
541,推断,2,0.04,71.95
542,人机交互,2,0.04,71.99
543,非线性,2,0.04,72.03
544,活力,2,0.04,72.07
545,水资源,2,0.04,72.11
546,减灾,2,0.04,72.15
547,风暴潮,2,0.04,72.19
548,地下水模型,2,0.04,72.23
549,通气层,2,0.04,72.27
550,葡萄园,2,0.04,72.31
551,可交付成果,2,0.04,72.35
552,宇宙学,2,0.04,72.39
553,非平衡热力学,2,0.04,72.43
554,耦合常数,2,0.04,72.47
555,耦合参数,2,0.04,72.51
556,电流（流体）,2,0.04,72.55
557,指数函数,2,0.04,72.59
558,引力,2,0.04,72.63
559,仪表（枪支）,2,0.04,72.67
560,农地,2,0.04,72.71
561,灌溉,2,0.04,72.75
562,火星表面,2,0.04,72.79
563,构造地质学,2,0.04,72.83
564,四边形,2,0.04,72.87
565,综合信息理论,2,0.04,72.91
566,控制论,2,0.04,72.95
567,传递关系,2,0.04,72.99
568,信息处理,2,0.04,73.03
569,意识,2,0.04,73.07
570,意义（存在）,2,0.04,73.11
571,信息论,2,0.04,73.15
572,本体论,2,0.04,73.19
573,阅读（过程）,2,0.04,73.23
574,经济,2,0.04,73.27
575,上传,2,0.04,73.31
576,树冠,2,0.04,73.35
577,德尔塔,2,0.04,73.39
578,水位,2,0.04,73.43
579,阿特拉斯（解剖学）,2,0.04,73.47
580,高度计,2,0.04,73.51
581,天体生物学,2,0.04,73.55
582,轨道器,2,0.04,73.59
583,家谱,2,0.04,73.63
584,殖民地时期,2,0.04,73.67
585,订单（交换）,2,0.04,73.71
586,编程语言,2,0.04,73.75
587,代码库,2,0.04,73.79
588,训练集,2,0.04,73.83
589,均方误差,2,0.04,73.87
590,泛化,2,0.04,73.91
591,渗透（暖通空调）,2,0.04,73.95
592,吉西他滨,2,0.04,73.99
593,保护生物学,2,0.04,74.03
594,系统地理学,2,0.04,74.07
595,追踪,2,0.04,74.11
596,临时密钥,2,0.04,74.15
597,转化（遗传学）,2,0.04,74.19
598,撞击坑,2,0.04,74.23
599,地质图,2,0.04,74.27
600,等深线图,2,0.04,74.31
601,西方的,2,0.04,74.35
602,塔尔西斯,2,0.04,74.39
603,细胞生物学,2,0.04,74.43
604,国际人权法,2,0.04,74.47
605,环境伦理学,2,0.04,74.51
606,风暴,2,0.04,74.55
607,三角洲,2,0.04,74.59
608,紫杉醇,2,0.04,74.63
609,历史记录,2,0.04,74.67
610,关系（数据库）,2,0.04,74.71
611,化疗,2,0.04,74.75
612,联轴器（管道）,2,0.04,74.79
613,以抑郁为中心的充电,2,0.04,74.83
614,参数统计,2,0.04,74.87
615,回归,2,0.04,74.91
616,仰角（弹道学）,2,0.04,74.95
617,动作（物理）,2,0.04,74.99
618,无量纲数量,2,0.04,75.03
619,可观察对象,2,0.04,75.07
620,岩性,2,0.04,75.11
621,地质统计学,2,0.04,75.15
622,水文模拟,2,0.04,75.19
623,知识库,2,0.04,75.23
624,抗体,2,0.04,75.27
625,腺癌,2,0.04,75.31
626,放射治疗,2,0.04,75.35
627,胰腺,2,0.04,75.39
628,溢出效应,2,0.04,75.43
629,一个健康,2,0.04,75.47
630,载体（分子生物学）,2,0.04,75.51
631,诺氏疟原虫,2,0.04,75.55
632,疟疾,2,0.04,75.59
633,碳抵消,2,0.04,75.63
634,碳信用,2,0.04,75.67
635,免疫组织化学,2,0.04,75.71
636,胰腺导管腺癌,2,0.04,75.75
637,癌症,2,0.04,75.79
638,病理学,2,0.04,75.83
639,新辅助治疗,2,0.04,75.87
640,LRRK2,2,0.04,75.91
641,综合指数,2,0.04,75.95
642,炮兵,2,0.04,75.99
643,西班牙内战,2,0.04,76.03
644,马赛克,2,0.04,76.07
645,转录组,2,0.04,76.11
646,讲故事,2,0.04,76.15
647,框架（施工）,2,0.04,76.19
648,吞噬作用,2,0.04,76.23
649,大气碳循环,2,0.04,76.27
650,碳会计,2,0.04,76.31
651,陆地生态系统,2,0.04,76.35
652,步行适宜性,2,0.04,76.39
653,景观设计,2,0.04,76.43
654,关卡设计,2,0.04,76.47
655,塔里木盆地,2,0.04,76.51
656,极端气候,2,0.04,76.55
657,气候变异性,2,0.04,76.59
658,显著的,2,0.04,76.63
659,实时计算,2,0.04,76.67
660,化学,2,0.04,76.71
661,相互的,2,0.04,76.75
662,发音（社会学）,2,0.04,76.79
663,反事实思维,2,0.04,76.83
664,水文学,2,0.04,76.87
665,下水道系统,2,0.04,76.91
666,峡谷,2,0.04,76.95
667,第一次世界大战,2,0.04,76.99
668,历史遗产,2,0.04,77.03
669,景观考古,2,0.04,77.07
670,突变,2,0.04,77.11
671,帕金森病,2,0.04,77.15
672,水文地质学,2,0.04,77.19
673,成分（热力学）,2,0.04,77.23
674,改造,2,0.04,77.27
675,金融市场,2,0.04,77.31
676,区域设置（计算机软件）,2,0.04,77.35
677,分层数据库模型,2,0.04,77.39
678,阴影（心理学）,2,0.04,77.43
679,阿尔贝多（炼金术）,2,0.04,77.47
680,谱带,2,0.04,77.51
681,光辉,2,0.04,77.55
682,文献计量学,2,0.04,77.59
683,农业生产力,2,0.04,77.63
684,雨养农业,2,0.04,77.67
685,块（置换群论）,2,0.04,77.71
686,战场,2,0.04,77.75
687,社区参与,2,0.04,77.79
688,兰德指数,2,0.04,77.83
689,层次聚类,2,0.04,77.87
690,冗余（工程）,2,0.04,77.91
691,节点（物理）,2,0.04,77.95
692,发电,2,0.04,77.99
693,太阳能,2,0.04,78.03
694,光伏系统,2,0.04,78.07
695,调度（生产过程）,2,0.04,78.11
696,比例危险率模型,2,0.04,78.15
697,癌症登记,2,0.04,78.19
698,癌症发病率,2,0.04,78.23
699,排水管网,2,0.04,78.27
700,城市空间结构,2,0.04,78.31
701,决策树,2,0.04,78.35
702,树（集合论）,2,0.04,78.39
703,激光雷达,2,0.04,78.43
704,莱文斯坦距离,2,0.04,78.47
705,自然语言生成,2,0.04,78.51
706,空间智能,2,0.04,78.55
707,任务（项目管理）,2,0.04,78.59
708,桥接（联网）,2,0.04,78.63
709,经济成本,2,0.04,78.67
710,气候正义,2,0.04,78.71
711,发展经济学,2,0.04,78.75
712,二进制数据,2,0.04,78.79
713,图形,2,0.04,78.83
714,生态水文学,2,0.04,78.87
715,全球卫生,2,0.04,78.91
716,虫媒病毒,2,0.04,78.95
717,图像（数学）,2,0.04,78.99
718,GNSS应用,2,0.04,79.03
719,冰川,2,0.04,79.07
720,苔原,2,0.04,79.11
721,路径（计算）,2,0.04,79.15
722,能见度,2,0.04,79.19
723,标注,2,0.04,79.23
724,营销,2,0.04,79.27
725,次级过滤器,2,0.04,79.31
726,灵媒,2,0.04,79.35
727,肢解,2,0.04,79.39
728,男子气概,2,0.04,79.43
729,主观性,2,0.04,79.47
730,渲染（计算机图形学）,2,0.04,79.51
731,雨水,2,0.04,79.55
732,易读性,2,0.04,79.59
733,声景,2,0.04,79.63
734,二进制代码,2,0.04,79.67
735,语言模型,2,0.04,79.71
736,青铜时代,2,0.04,79.75
737,时间线,2,0.04,79.79
738,年表,2,0.04,79.83
739,岸,2,0.04,79.87
740,参考数据,2,0.04,79.91
741,生物多样性热点,2,0.04,79.95
742,碎片化（计算）,2,0.04,79.99
743,专题制图仪,2,0.04,80.03
744,雪,2,0.04,80.07
745,农学,2,0.04,80.11
746,可持续农业,2,0.04,80.15
747,搬迁,2,0.04,80.19
748,供应商,2,0.04,80.23
749,教练,2,0.04,80.27
750,退化（电信）,2,0.04,80.31
751,峡湾,2,0.04,80.35
752,社会会计矩阵,2,0.04,80.39
753,社会成本,2,0.04,80.43
754,气候风险,2,0.04,80.47
755,钓鱼,2,0.04,80.51
756,经济影响分析,2,0.04,80.55
757,可计算一般均衡,2,0.04,80.59
758,账本,2,0.04,80.63
759,国民账户,2,0.04,80.67
760,收入,2,0.04,80.71
761,培训（气象学）,2,0.04,80.75
762,民用航空,2,0.04,80.79
763,航空,2,0.04,80.83
764,压力源,2,0.04,80.87
765,磁性地层学,2,0.04,80.91
766,青铜,2,0.04,80.95
767,同步,2,0.04,80.99
768,认证,2,0.04,81.03
769,宏基因组学,2,0.04,81.07
770,社区复原力,2,0.04,81.11
771,热应激,2,0.04,81.15
772,适应能力,2,0.04,81.19
773,环境治理,2,0.04,81.23
774,野生动物,2,0.04,81.27
775,人口统计,2,0.04,81.31
776,新兴技术,2,0.04,81.35
777,作物产量,2,0.04,81.39
778,黄土,2,0.04,81.43
779,增强植被指数,2,0.04,81.47
780,自然遗产,2,0.04,81.51
781,创意可视化,2,0.04,81.55
782,分析,2,0.04,81.59
783,感知,2,0.04,81.63
784,纤芯（光纤）,2,0.04,81.67
