title,year,keywords,source,doi,keywords_cn
Panel Dataset: Urban Evolution Analysis of Taichung City (2018–2025),2026,Geography; Remote sensing; Sampling (signal processing); Regional science; Urban planning; Physical geography; Urban heat island,OpenAlex,https://doi.org/10.5281/zenodo.18864449,地理; 遥感; 采样（信号处理）; 区域科学; 城市规划; 自然地理学; 城市热岛
Innovations for sustainable crop protection: application of microwaves for stubble and soilborne disease management,2026,Cropping; Agriculture; Sustainability; Agricultural engineering; Agroforestry; Cropping system; Disease management; Emerging technologies; Biology; Biotechnology; Sustainable agriculture; Environmental resource management; Plant disease; Web application; Crop yield; Agronomy; Risk analysis (engineering); Intercropping; Sustainable management,OpenAlex,https://doi.org/10.1007/s10658-026-03182-w,裁剪; 农业; 可持续性; 农业工程; 农林复合系统; 种植制度; 疾病管理; 新兴技术; 生物学; 生物技术; 可持续农业; 环境资源管理; 植物病害; Web应用程序; 作物产量; 农学; 风险分析（工程）; 间作; 可持续管理
CNN-transformer collaborative learning for remote sensing semantic segmentation,2026,Remote sensing; Computer science; Segmentation; Collaborative learning; Remote sensing application; Artificial intelligence,OpenAlex,https://doi.org/10.1117/12.3096292,遥感; 计算机科学; 分割; 协作学习; 遥感应用; 人工智能
Seasonal biases in glacier surface flow velocities measured from optical remote sensing images,2026,Glacier; Geology; Remote sensing; Amplitude; Satellite; Scale (ratio); GNSS applications; Glacier terminus; Geodesy; Synthetic aperture radar; Flow (mathematics); Surface (topology); Climatology; Flow velocity; Environmental science; Satellite imagery; Optical flow,OpenAlex,https://doi.org/10.5194/egusphere-2026-946,冰川; 地质学; 遥感; 振幅; 卫星; 比例（比率）; GNSS应用; 冰川终点; 大地测量学; 合成孔径雷达; 流量（数学）; 曲面（拓扑）; 气候学; 流速; 环境科学; 卫星图像; 光流
Study on the Variation Characteristics and Influencing Factors of Hydrological Connectivity in Zoige Wetland,2026,Wetland; Environmental science; Hydrology (agriculture); Ecosystem; Landscape ecology; Disturbance (geology); Landscape connectivity; Habitat; Ecohydrology; Vegetation (pathology); Flooding (psychology); Surface runoff; Precipitation; Ecology; Functional connectivity; Channel (broadcasting); Physical geography; Landform; Proxy (statistics); Restoration ecology; Water level; Functional ecology,OpenAlex,https://doi.org/10.3390/su18052515,湿地; 环境科学; 水文学（农业）; 生态系统; 景观生态学; 扰动（地质）; 景观连通性; 栖息地; 生态水文学; 植被（病理学）; 洪水（心理学）; 地表径流; 降水; 生态学; 的功能连接; 频道（广播）; 自然地理学; 地形地貌; 代理（统计）; 恢复生态学; 水位; 功能生态学
"High-Accuracy Mangrove Extraction and Degradation Diagnosis Using Time-Series Remote Sensing and Deep Learning: A Case Study of the Largest Delta in the Northern Beibu Gulf, China",2026,Mangrove; Environmental science; Remote sensing; Ecosystem; Delta; Normalized Difference Vegetation Index; Habitat; Vegetation (pathology); Canopy; Digital elevation model; River delta; Biodiversity; Hydrology (agriculture),OpenAlex,https://doi.org/10.3390/w18050617,红树林; 环境科学; 遥感; 生态系统; 德尔塔; 归一化植被指数; 栖息地; 植被（病理学）; 树冠; 数字高程模型; 三角洲; 生物多样性; 水文学（农业）
Spatio-temporal analysis of land use and land cover changes: assessing urban expansion and ecological transformations (2003–2023),2026,"Urbanization; Land use; Wetland; Land cover; Land reclamation; Environmental resource management; Land development; Environmental science; Land use, land-use change and forestry; Sustainable development; Geography; Remote sensing; Agriculture; Urban planning; Urban climate; Sustainability; Satellite imagery; Physical geography; Human geography; Geomatics; Climate change; Environmental planning; Land management; Geographic information system; Agricultural land",OpenAlex,https://doi.org/10.1007/s10708-026-11571-1,城市化; 土地利用; 湿地; 土地覆盖; 土地复垦; 环境资源管理; 土地开发; 环境科学; 土地利用、土地利用变化和林业; 可持续发展; 地理; 遥感; 农业; 城市规划; 城市气候; 可持续性; 卫星图像; 自然地理学; 人文地理学; 测绘学; 气候变化; 环境规划; 土地管理; 地理信息系统; 农地
A Special Focus on Natural Disasters in the Field of Earth Sciences,2026,Natural disaster; Resilience (materials science); Field (mathematics); Warning system; Emergency management; Earth observation; Natural (archaeology); Environmental resource management; Geography; Data science; Focus (optics); Psychological resilience; Disaster research; Natural hazard; Big data; Engineering; Risk management,OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch010,自然灾害; 弹性（材料科学）; 领域（数学）; 预警系统; 应急管理; 地球观测; 自然（考古学）; 环境资源管理; 地理; 数据科学; 焦点（光学）; 心理弹性; 灾害研究; 自然灾害; 大数据; 工程; 风险管理
Piecing together protection measures for environmental defenders in the Philippines,2026,Human rights; Witness; Commission; Political science; Law; Politics; Environmental law; Environmentalism; Opposition (politics); Legal doctrine; Environmental disaster; Principle of legality; Environmental ethics; International human rights law; Environmental impact assessment,OpenAlex,https://doi.org/10.3389/fenvs.2026.1758093,人权; 见证; 佣金; 政治学; 法律; 政治; 环境法; 环境主义; 反对党（政治）; 法律原则; 环境灾难; 合法性原则; 环境伦理学; 国际人权法; 环境影响评价
Synergistic Dynamic Optimization of Dry-Wet Edges in NDVI-LST/EVI-LST Feature Spaces and Surface Soil Moisture Monitoring Based on TVDI Crop Growth Periods in the Hetao Irrigation District,2026,Environmental science; Normalized Difference Vegetation Index; Irrigation; Water content; Evapotranspiration; Arid; Soil science; Moisture; Irrigation district; Vegetation (pathology); Dryness; Hydrology (agriculture); Remote sensing; Infiltration (HVAC); Soil water; Surface irrigation; DNS root zone,OpenAlex,https://doi.org/10.3390/agriculture16050590,环境科学; 归一化植被指数; 灌溉; 含水量; 蒸散发; 干旱的; 土壤科学; 湿气; 灌区; 植被（病理学）; 干燥; 水文学（农业）; 遥感; 渗透（暖通空调）; 土壤水分; 地表灌溉; DNS根区域
Improve the estimation accuracy of daily surface all-wave net radiation from FY3D MERSI-II data based on Pesudo-label learning method,2026,Robustness (evolution); Estimation; Satellite; Computer science; Thermal infrared; Remote sensing; Environmental science; Generalization; Mean squared error; Earth's energy budget; Training set,OpenAlex,https://doi.org/10.5281/zenodo.18860061,稳健性（进化）; 估计; 卫星; 计算机科学; 热红外; 遥感; 环境科学; 泛化; 均方误差; 地球的能源预算; 训练集
Integrating GIS and Remote Sensing in Early Warning Systems for Real-Time Disaster Preparedness,2026,Remote sensing; Warning system; Preparedness; Emergency management; Geographic information system; Flood myth; Hydrometeorology; Environmental resource management; Computer science; Earth observation; Decision support system; Early warning system; Sustainability; Environmental planning; Digital Earth; Geography; Geomatics; Corporate governance; Information system; Climate change; The Internet; Resilience (materials science); Data science; Data sharing; Cyberinfrastructure,OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch009,遥感; 预警系统; 准备; 应急管理; 地理信息系统; 大洪水; 水文气象; 环境资源管理; 计算机科学; 地球观测; 决策支持系统; 预警系统; 可持续性; 环境规划; 数字地球; 地理; 测绘学; 公司治理; 信息系统; 气候变化; 互联网; 弹性（材料科学）; 数据科学; 数据共享; 信息基础设施
Small object detection algorithm for remote sensing images based on multiscale feature fusion,2026,Remote sensing; Computer science; Artificial intelligence; Feature (linguistics); Computer vision; Object detection; Fusion; Image fusion; Sensor fusion; Algorithm; Object (grammar); Pattern recognition (psychology),OpenAlex,https://doi.org/10.1117/12.3095646,遥感; 计算机科学; 人工智能; 特征（语言学）; 计算机视觉; 目标检测; 融合; 图像融合; 传感器融合; 算法; 对象（语法）; 模式识别（心理学）
MODE-GAN: Multi-order dual-edge generative adversarial network for remote sensing image super-resolution,2026,Remote sensing; Computer science; Artificial intelligence; Adversarial system; Key (lock); Computer vision; Image (mathematics); Remote sensing application; Generative adversarial network; Image processing,OpenAlex,https://doi.org/10.1007/s44443-026-00614-9,遥感; 计算机科学; 人工智能; 对抗制; 钥匙（锁）; 计算机视觉; 图像（数学）; 遥感应用; 生成型对抗网络; 图像处理
"Global patterns, supply-chain flows, and driving factors of forest loss footprints from 2001 to 2022",2026,Deforestation (computer science); Natural resource economics; Global warming; Climate change; Environmental resource management; Business; Population; China; Commodity; Geography; Forest degradation,OpenAlex,https://doi.org/10.21203/rs.3.rs-8944281/v1,森林砍伐（计算机科学）; 自然资源经济学; 全球变暖; 气候变化; 环境资源管理; 商业; 人口; 中国; 商品; 地理; 森林退化
"Mapping Flood-Prone Areas and Crop Damage Assessment Using Remote Sensing and GIS: A Comparative Analysis of the 2010 and 2022 Floods in Sindh, Pakistan",2026,Remote sensing; Environmental science; Geography; Crop; Remote sensing application; Flood myth; Water resource management,OpenAlex,https://doi.org/10.1007/s12524-026-02441-x,遥感; 环境科学; 地理; 作物; 遥感应用; 大洪水; 水资源管理
What Is the Importance of Wetlands in Reducing Disaster Risks?,2026,Wetland; Environmental planning; Flood myth; Environmental resource management; Climate change; Resilience (materials science); Flooding (psychology); Psychological resilience; Stakeholder; Natural disaster; Ecosystem services; Adaptation (eye); Stakeholder engagement; Geography; Business; Natural (archaeology); Ecosystem; Natural hazard; Natural resource; Vulnerability (computing),OpenAlex,https://doi.org/10.4018/979-8-3373-6274-8.ch003,湿地; 环境规划; 大洪水; 环境资源管理; 气候变化; 弹性（材料科学）; 洪水（心理学）; 心理弹性; 利益相关者; 自然灾害; 生态系统服务; 适应（眼睛）; 利益相关方参与; 地理; 商业; 自然（考古学）; 生态系统; 自然灾害; 自然资源; 漏洞（计算）
CARTOGRAPHIC ANALYSIS OF THE SPATIAL–ECOLOGICAL STRUCTURE OF ZOOPLANKTON DEVELOPMENT IN NATURAL LAKE ECOSYSTEMS USING GIS (A CASE STUDY OF THE FERGANA VALLEY),2026,Zooplankton; Environmental science; Thematic map; Ecosystem; Lake ecosystem; Geographic information system; Trophic level; Bioindicator; Geography; Biomass (ecology); Ecology; Water quality; Plankton; Remote sensing; Zoning; Natural (archaeology),OpenAlex,https://doi.org/10.5281/zenodo.18859517,浮游动物; 环境科学; 专题地图; 生态系统; 湖泊生态系统; 地理信息系统; 营养级; 生物指示剂; 地理; 生物量（生态学）; 生态学; 水质; 浮游生物; 遥感; 分区; 自然（考古学）
Investigating image quality impact on remote sensing object detection,2026,Remote sensing; Computer vision; Computer science; Object detection; Artificial intelligence; Quality (philosophy); Object (grammar); Image quality; Image processing; Environmental science; Remote sensing application,OpenAlex,https://doi.org/10.1117/12.3094817,遥感; 计算机视觉; 计算机科学; 目标检测; 人工智能; 质量（哲学）; 对象（语法）; 图像质量; 图像处理; 环境科学; 遥感应用
River Network Routing and Discharge Partitioning on a Multichannel River Network,2026,Hydrograph; Routing (electronic design automation); Flow routing; Environmental science; Streamflow; Computer science; Discharge; Hydrology (agriculture); Network topology; Surface runoff; Metrics; Floodplain; Representation (politics); Flow network; Main river,OpenAlex,https://doi.org/10.17615/b6q6-3e93,水文图; 布线（电子设计自动化）; 流路由; 环境科学; 径流; 计算机科学; 排放; 水文学（农业）; 网络拓扑; 地表径流; 指标; 漫滩; 代表（政治）; 网络流; 主要河流
The RANS value of the sampling point,2026,Sampling (signal processing); Mathematics; Value (mathematics); Statistics; Point (geometry); Measure (data warehouse); Remote sensing; Applied mathematics; Limit (mathematics),OpenAlex,https://doi.org/10.6084/m9.figshare.31475854.v1,采样（信号处理）; 数学; 价值（数学）; 统计; 点（几何）; 测量（数据仓库）; 遥感; 应用数学; 极限（数学）
"Towards high-spatial-resolution, multi-depth soil water content estimation via SAR data and multimodal deep learning",2026,Deep learning; Ground truth; Remote sensing; Computer science; Convolutional neural network; Field (mathematics); Mean squared error; Feature (linguistics); Image resolution; Artificial intelligence; Artificial neural network; Spatial analysis; Precision agriculture; Estimation; Machine learning; Synthetic aperture radar; Environmental science; Data mining; Water content; Surface water; Soil water,OpenAlex,https://doi.org/10.1007/s11119-026-10322-z,深度学习; 真实值; 遥感; 计算机科学; 卷积神经网络; 领域（数学）; 均方误差; 特征（语言学）; 图像分辨率; 人工智能; 人工神经网络; 空间分析; 精准农业; 估计; 机器学习; 合成孔径雷达; 环境科学; 数据挖掘; 含水量; 地表水; 土壤水分
"An integrated approach leveraging remote sensing, geospatial analysis, and machine learning algorithms for high-resolution wildfire susceptibility assessment and identification of environmental drivers in El Tarf Province, Algeria",2026,Geospatial analysis; Interpretability; Random forest; Machine learning; Computer science; Remote sensing; Spatial analysis; Environmental science; Artificial intelligence; Land cover; Spatial database; Normalized Difference Vegetation Index; Environmental resource management; Geographic information system; Ensemble learning; Algorithm; Vegetation (pathology); Downscaling; Data set,OpenAlex,https://doi.org/10.1007/s10661-026-15080-z,空间分析; 可解释性; 随机森林; 机器学习; 计算机科学; 遥感; 空间分析; 环境科学; 人工智能; 土地覆盖; 空间数据库; 归一化植被指数; 环境资源管理; 地理信息系统; 集成学习; 算法; 植被（病理学）; 缩小规模; 数据集
CARTOGRAPHIC ANALYSIS OF THE SPATIAL–ECOLOGICAL STRUCTURE OF ZOOPLANKTON DEVELOPMENT IN NATURAL LAKE ECOSYSTEMS USING GIS (A CASE STUDY OF THE FERGANA VALLEY),2026,Zooplankton; Environmental science; Thematic map; Ecosystem; Lake ecosystem; Geographic information system; Trophic level; Bioindicator; Geography; Biomass (ecology); Ecology; Water quality; Plankton; Remote sensing; Zoning; Natural (archaeology),OpenAlex,https://doi.org/10.5281/zenodo.18859518,浮游动物; 环境科学; 专题地图; 生态系统; 湖泊生态系统; 地理信息系统; 营养级; 生物指示剂; 地理; 生物量（生态学）; 生态学; 水质; 浮游生物; 遥感; 分区; 自然（考古学）
6ABOS: 6S-based Atmospheric Background Offset Subtraction v1.1.5,2026,Reflectivity; Aerosol; Environmental science; Remote sensing; Computer science; Offset (computer science); Atmospheric correction; Meteorology,OpenAlex,https://doi.org/10.5281/zenodo.18232368,反射率; 气溶胶; 环境科学; 遥感; 计算机科学; 胶印（计算机科学）; 大气校正; 气象学
"Spatiotemporal Analysis of Riverbank Erosion, Accretion, and Channel Shifting of the Bukhainagar River (1990–2020) Using geospatial Technique in Southern Bangladesh",2026,Accretion (finance); Geospatial analysis; Erosion; Channel (broadcasting); Satellite imagery; Remote sensing; Digital elevation model; Livelihood; Hydrology (agriculture); Physical geography; Geographic information system; Environmental science; Satellite; Bank erosion; Geography; Environmental resource management; Coastal erosion,OpenAlex,https://doi.org/10.21203/rs.3.rs-9016332/v1,增值（金融）; 空间分析; 侵蚀; 频道（广播）; 卫星图像; 遥感; 数字高程模型; 生计; 水文学（农业）; 自然地理学; 地理信息系统; 环境科学; 卫星; 河岸侵蚀; 地理; 环境资源管理; 海岸侵蚀
Automated Levee Detection in Digital Elevation Models,2026,Digital elevation model; Levee; Flood myth; Remote sensing; Elevation (ballistics); Flood risk assessment; Natural hazard; Environmental science; Geology; Geographic information system; Hazard; Flooding (psychology); Hydrology (agriculture); Risk assessment; Scale (ratio),OpenAlex,https://doi.org/10.31223/x57x8x,数字高程模型; 堤坝; 大洪水; 遥感; 仰角（弹道学）; 洪水风险评估; 自然灾害; 环境科学; 地质学; 地理信息系统; 危险; 洪水（心理学）; 水文学（农业）; 风险评估; 比例（比率）
Panel Dataset: Urban Evolution Analysis of Taichung City (2018–2025),2026,Geography; Remote sensing; Sampling (signal processing); Regional science; Urban planning; Physical geography; Urban heat island,OpenAlex,https://doi.org/10.5281/zenodo.18864450,地理; 遥感; 采样（信号处理）; 区域科学; 城市规划; 自然地理学; 城市热岛
Nine changes needed to deliver a radical transformation in biodiversity measurement,2026,Resilience (materials science); Biodiversity; Identification (biology); Environmental resource management; Citizen science; Indigenous; Field (mathematics); Key (lock); Computer science; Business; Risk analysis (engineering); Data science; Emerging technologies; Psychological resilience; Sustainable development; Environmental planning; Traditional knowledge; Ecosystem services; Sustainability; Data collection,OpenAlex,https://doi.org/10.1073/pnas.2519345123,弹性（材料科学）; 生物多样性; 鉴定（生物学）; 环境资源管理; 公民科学; 土著; 领域（数学）; 钥匙（锁）; 计算机科学; 商业; 风险分析（工程）; 数据科学; 新兴技术; 心理弹性; 可持续发展; 环境规划; 传统知识; 生态系统服务; 可持续性; 数据收集
Groundwater Recharge in Crisis: Analyzing the Impact of Urban Growth on Monterrey’s Aquifer Health in the Face of the Rio Grande’s Current Conditions,2026,Groundwater recharge; Environmental science; Hydrology (agriculture); Groundwater; Water resource management; Aquifer; Depression-focused recharge; Metropolitan area; Water table; Drainage; Thematic map; Baseflow; Vegetation (pathology); Water scarcity,OpenAlex,https://doi.org/10.3390/w18050616,地下水补给; 环境科学; 水文学（农业）; 地下水; 水资源管理; 含水层; 以抑郁为中心的充电; 都会区; 地下水位; 排水; 专题地图; 基流; 植被（病理学）; 水资源短缺
PSiam-HDSFNet: A Pseudo-Siamese Hybrid Dilation Spiral Feature Network for Flood Inundation Change Detection Based on Heterogeneous Remote Sensing Imagery,2026,Remote sensing; Change detection; Computer science; Flood myth; Feature (linguistics); Pyramid (geometry); Residual; Artificial intelligence; Feature extraction; Computer vision; Dilation (metric space); Stereoscopy; Geology; Remote sensing application; Pattern recognition (psychology); Noise (video); Pixel; Segmentation; Synthetic aperture radar,OpenAlex,https://doi.org/10.3390/rs18050788,遥感; 变化检测; 计算机科学; 大洪水; 特征（语言学）; 金字塔（几何）; 残差; 人工智能; 特征提取; 计算机视觉; 膨胀（公制空间）; 立体视法; 地质学; 遥感应用; 模式识别（心理学）; 噪音（视频）; 像素; 分割; 合成孔径雷达
Landscape-scale experimental proof that tall wet Eucalyptus regrowth burns more severely than mature forest,2026,Environmental science; Eucalyptus; Flammable liquid; Microclimate; Vegetation (pathology); Litter; Canopy; Forestry; Prescribed burn; Growing season; Plant litter; Thinning; Agroforestry; Woody plant; Fire ecology; Field experiment; Agronomy; Combustibility; Coarse woody debris; Altitude (triangle),OpenAlex,https://doi.org/10.1088/1748-9326/ae4d62,环境科学; 桉树; 易燃液体; 小气候; 植被（病理学）; 垃圾; 树冠; 林业; 规定烧伤; 生长季节; 植物垃圾; 稀疏化; 农林复合系统; 木本植物; 火生态学; 现场实验; 农学; 可燃性; 粗木质残体; 高度（三角形）
Reviews and syntheses: Eddy covariance-based evapotranspiration partitioning,2026,Eddy covariance; Evapotranspiration; Transpiration; Environmental science; Water cycle; Canopy conductance; Ecosystem; Precipitation; Vapour Pressure Deficit; Primary production; Water use; Temporal scales; Climate change; Atmospheric sciences; Ecohydrology; Flux (metallurgy); Water-use efficiency,OpenAlex,https://doi.org/10.5194/egusphere-2026-906,涡度相关法; 蒸散发; 蒸腾; 环境科学; 水循环; 树冠气孔通导率; 生态系统; 降水; 蒸汽压不足; 初级生产; 用水; 时间尺度; 气候变化; 大气科学; 生态水文学; 焊剂（冶金）; 水分利用效率
Journal of GIS based Historical Studies,2029,Computer science; Geography; Data science,OpenAlex,https://doi.org/10.5281/zenodo.7368979,计算机科学; 地理; 数据科学
A UAV-Based Framework for Community-Scale Residential Building Energy Modelling in China,2029,Context (archaeology); Exploit; Efficient energy use; Systems engineering; Computer science; Photogrammetry; Scalability; Toolchain; Workflow; Automation; Instrumentation (computer programming); Data collection; Energy (signal processing); Embodied energy; Engineering; Orthophoto; Energy modeling; Building energy simulation; Energy planning; Building information modeling; Building management system; Building automation,OpenAlex,https://doi.org/10.17638/03195460,背景（考古学）; 利用; 高效利用能源; 系统工程; 计算机科学; 摄影测量; 可扩展性; 工具链; 工作流程; 自动化; 仪器仪表（计算机编程）; 数据收集; 能源（信号处理）; 内含能; 工程; 正射影像; 能量建模; 建筑能耗模拟; 能源规划; 建筑信息模型; 楼宇管理系统; 楼宇自动化
ಕರನಟಕ ಮತತ ಕರಳದ ಅರಣಯ ಸರಕಷತ ಪರದಶಗಳನನ ಸಪರಕಸವ ವನಯಜವ ಕರಡರಗಳ ಮಲ ಭದಶಯ ವಘಟನಯ ಪರಣಮ,2026,,OpenAlex,https://doi.org/10.5281/zenodo.18160207,
ಕರನಟಕ ಮತತ ಕರಳದ ಅರಣಯ ಸರಕಷತ ಪರದಶಗಳನನ ಸಪರಕಸವ ವನಯಜವ ಕರಡರಗಳ ಮಲ ಭದಶಯ ವಘಟನಯ ಪರಣಮ,2026,,OpenAlex,https://doi.org/10.5281/zenodo.18160206,
Bridging natural language and GIS: a multi-agent framework for LLM-driven autonomous geospatial analysis,2026,Computer science; Geospatial analysis; Workflow; Bridging (networking); Executable; Task (project management); Software engineering; Automated reasoning; Architecture; Semantics (computer science); Task analysis; Natural language; Geographic information system; Artificial intelligence; Spatial intelligence,OpenAlex,https://doi.org/10.1080/17538947.2026.2633849,计算机科学; 空间分析; 工作流程; 桥接（联网）; 可执行; 任务（项目管理）; 软件工程; 自动推理; 建筑; 语义学（计算机科学）; 任务分析; 自然语言; 地理信息系统; 人工智能; 空间智能
O'ZBEKISTONDA RAQAMLI TARIX ASOSIDA O'RTA ASR MANBALARINI TAHLIL QILISH IMKONIYATLARI,2026,Metadata; Computer science; Character (mathematics); Natural language processing,OpenAlex,https://doi.org/10.5281/zenodo.18841206,元数据; 计算机科学; 字符（数学）; 自然语言处理
